Index: 1 Polarity: 4	Tweet ID: 1024	Username: kellan3		Text: Kobe is the best in the world not lebron .
Index: 34 Polarity: 0	Tweet ID: 2084	Username: Timl906		Text: itchy back!! dont ya hate it!
Index: 35 Polarity: 4	Tweet ID: 2085	Username: PassionMode		Text: Stanford Charity Fashion Show a top draw http://cli.gs/NeNuAH
Index: 36 Polarity: 4	Tweet ID: 2086	Username: TechUpdate		Text: Stanford University?s Facebook Profile is One of the Most Popular Official University Pages - http://tinyurl.com/p5b3fl
Index: 37 Polarity: 4	Tweet ID: 2087	Username: robotickilldoz		Text: Lyx is cool.
Index: 38 Polarity: 4	Tweet ID: 2093	Username: TheDALiSi		Text: SOOO DISSAPOiNTED THEY SENT DANNY GOKEY HOME... YOU STiLL ROCK ...DANNY ... MY HOMETOWN HERO !! YEAH MiLROCKEE!!
Index: 39 Polarity: 4	Tweet ID: 46	Username: JoeSchuelle		Text: Booz Allen Hamilton has a bad ass homegrown social collaboration platform. Way cool!  #ttiv
Index: 40 Polarity: 4	Tweet ID: 2094	Username: fashion_retwee		Text: RT @PassionModel 'American Idol' fashion: Adam Lambert tones down; Danny Gokey cute ... http://cli.gs/7JWSHV
Index: 41 Polarity: 4	Tweet ID: 47	Username: scottabe		Text: [#MLUC09] Customer Innovation Award Winner: Booz Allen Hamilton -- http://ping.fm/c2hPP
Index: 42 Polarity: 4	Tweet ID: 2095	Username: angelkim1		Text: @dannygokey I love you DANNY GOKEY!! :)
Index: 43 Polarity: 0	Tweet ID: 2096	Username: download1		Text: RT @justindavey: RT @tweetmeme GM OnStar now instantly sends accident location coordinates to 911 | GPS Obsessed http://bit.ly/16szL1
Index: 44 Polarity: 4	Tweet ID: 49	Username: JustMe_		Text: @SoChi2 I current use the Nikon D90 and love it; but not as much as the Canon 40D/50D. I chose the D90 for the  video feature. My mistake.
Index: 45 Polarity: 4	Tweet ID: 2097	Username: nichole1		Text: so tired. i didn't sleep well at all last night.
Index: 46 Polarity: 4	Tweet ID: 50	Username: hiteshbaga		Text: need suggestions for a good IR filter for my canon 40D ... got some? pls DM
Index: 47 Polarity: 0	Tweet ID: 2098	Username: xstaylo		Text: Boarding plane for San Francisco in 1 hour; 6 hr flight. Blech.
Index: 48 Polarity: 4	Tweet ID: 2099	Username: miwah		Text: bonjour San Francisco. My back hurts from last night..
Index: 49 Polarity: 2	Tweet ID: 2100	Username: bKnap		Text: breakers. in San Francisco; CA http://loopt.us/4v88Bw.t
Index: 50 Polarity: 0	Tweet ID: 2101	Username: raycej		Text: Heading to San Francisco
Index: 51 Polarity: 4	Tweet ID: 2102	Username: deepika		Text: With my best girl for a few more hours in San francisco. Mmmmmfamily is wonderful!
Index: 52 Polarity: 0	Tweet ID: 2103	Username: kaasla		Text: F*** up big; or go home - AIG
Index: 53 Polarity: 4	Tweet ID: 2104	Username: Pgob		Text: Went to see the Star Trek movie last night.  Very satisfying.
Index: 54 Polarity: 4	Tweet ID: 2105	Username: qrboy8		Text: I can't wait; going to see star trek tonight!!
Index: 55 Polarity: 4	Tweet ID: 2106	Username: adamrisse		Text: Star Trek was as good as everyone said!!
Index: 56 Polarity: 4	Tweet ID: 2107	Username: GoodPhoeni		Text: am loving new malcolm gladwell book - outliers
Index: 57 Polarity: 4	Tweet ID: 2108	Username: silentcart		Text: I highly recommend Malcolm Gladwell's 'The Tipping Point.' My next audiobook will probably be one of his as well.
Index: 58 Polarity: 4	Tweet ID: 2109	Username: kerrrrr		Text: Malcolm Gladwell is a genius at tricking people into not realizing he's a fucking idiot
Index: 59 Polarity: 0	Tweet ID: 2110	Username: bling_crosb		Text: @sportsguy33 hey no offense but malcolm gladwell is a pretenious; annoying cunt and he brings you down. cant read his shit
Index: 60 Polarity: 4	Tweet ID: 2111	Username: ripplemd		Text: RT @clashmore: http://bit.ly/SOYv7  Great article by Malcolm Gladwell.
Index: 61 Polarity: 4	Tweet ID: 2112	Username: drewlew3		Text: I seriously underestimated Malcolm Gladwell.  I want to meet this dude.
Index: 62 Polarity: 0	Tweet ID: 2113	Username: MrsGinobil		Text: i hate comcast right now. everything is down cable internet &amp; phone....ughh what am i to do
Index: 63 Polarity: 0	Tweet ID: 2114	Username: stormygirl22		Text: Comcast sucks.
Index: 64 Polarity: 4	Tweet ID: 2115	Username: theZocto		Text: The day I never have to deal with Comcast again will rank as one of the best days of my life.
Index: 65 Polarity: 0	Tweet ID: 2116	Username: motkep		Text: @Dommm did comcast fail again??
Index: 66 Polarity: 4	Tweet ID: 2117	Username: YouAnswe		Text: How do you use the twitter API?... http://bit.ly/4VBhH
Index: 67 Polarity: 4	Tweet ID: 2118	Username: marekds		Text: curses the Twitter API limit
Index: 68 Polarity: 0	Tweet ID: 2119	Username: mikecan		Text: Now I can see why Dave Winer screams about lack of Twitter API; its limitations and access throttles!
Index: 69 Polarity: 4	Tweet ID: 2120	Username: trivekto		Text: testing Twitter API
Index: 70 Polarity: 4	Tweet ID: 2121	Username: rdoc42		Text: Arg. Twitter API is making me crazy.
Index: 71 Polarity: 4	Tweet ID: 2122	Username: Hot_Tweet		Text: Testing Twitter API. Remote Update
Index: 72 Polarity: 4	Tweet ID: 2137	Username: jeffswhit		Text: I'm really loving the new search site Wolfram/Alpha. Makes Google seem so ... quaint. http://www72.wolframalpha.com/
Index: 73 Polarity: 0	Tweet ID: 2138	Username: marrio		Text: #wolfram Alpha SUCKS! Even for researchers the information provided is less than you can get from #google or #wikipedia; totally useless!
Index: 74 Polarity: 4	Tweet ID: 2139	Username: kewpiezmo		Text: Off to the NIKE factory!!!
Index: 75 Polarity: 4	Tweet ID: 2140	Username: Chet_Lemo		Text: New nike muppet commercials are pretty cute. Why do we live together again?
Index: 76 Polarity: 4	Tweet ID: 2141	Username: sneakerfile		Text: New blog post: Nike Zoom LeBron Soldier 3 (III) - White / Black - Teal http://bit.ly/rouUS
Index: 77 Polarity: 4	Tweet ID: 2142	Username: nikeblo		Text: New blog post: Nike Trainer 1 http://bit.ly/394bp
Index: 78 Polarity: 0	Tweet ID: 2143	Username: laurenorno		Text: @Fraggle312 oh those are awesome! i so wish they weren't owned by nike :(
Index: 79 Polarity: 4	Tweet ID: 2158	Username: julieule		Text: @tonyhawk http://twitpic.com/5c7uj - AWESOME!!! Seeing the show Friday at the Shoreline Amphitheatre. Never seen NIN before. Can't wait. ...
Index: 80 Polarity: 0	Tweet ID: 2159	Username: gux_kun		Text: arhh; It's weka bug. = ="" and I spent almost two hours to find that out. crappy me
Index: 81 Polarity: 4	Tweet ID: 2160	Username: GrfxGur		Text: @mitzs hey bud :) np I do so love my 50D; although I'd love a 5D mkII more
Index: 82 Polarity: 4	Tweet ID: 2161	Username: joelgoodma		Text: @jonduenas @robynlyn just got us a 50D for the office. :D
Index: 83 Polarity: 4	Tweet ID: 2162	Username: trevorcgibso		Text: Just picked up my new Canon 50D...it's beautiful!!  Prepare for some seriously awesome photography!
Index: 84 Polarity: 4	Tweet ID: 2163	Username: ashpeckha		Text: Just got my new toy. Canon 50D. Love love love it!
Index: 85 Polarity: 4	Tweet ID: 2164	Username: davidivin		Text: Learning about lambda calculus :)
Index: 86 Polarity: 4	Tweet ID: 117	Username: Annimallove		Text: @surfit: I just checked my google for my business- blip shows up as the second entry! Huh. Is that a good or ba... ? http://blip.fm/~6emhv
Index: 87 Polarity: 4	Tweet ID: 2165	Username: SCSanFrancisc		Text: #jobs #sittercity Help with taking care of sick child (East Palo Alto; CA) http://tinyurl.com/qwrr2m
Index: 88 Polarity: 4	Tweet ID: 118	Username: J_Hol		Text: @phyreman9 Google is always a good place to look. Should've mentioned I worked on the Mustang w/ my Dad; @KimbleT.
Index: 89 Polarity: 2	Tweet ID: 2166	Username: nfarza		Text: I'm moving to East Palo Alto!
Index: 90 Polarity: 0	Tweet ID: 119	Username: vamsmac		Text: Played with an android google phone. The slide out screen scares me I would break that fucker so fast. Still prefer my iPhone.
Index: 91 Polarity: 0	Tweet ID: 120	Username: schronc		Text: US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders
Index: 92 Polarity: 0	Tweet ID: 121	Username: MarissaLee		Text: omg so bored &amp; my tattoooos are so itchy!!  help! aha =)
Index: 93 Polarity: 2	Tweet ID: 122	Username: robloposk		Text: I'm itchy and miserable!
Index: 94 Polarity: 0	Tweet ID: 123	Username: EdwinLValenci		Text: @sekseemess no. I'm not itchy for now. Maybe later; lol.
Index: 95 Polarity: 4	Tweet ID: 2171	Username: tylerli		Text: @ atebits I just finished watching your Stanford iPhone Class session. I really appreciate it. You Rock!
Index: 96 Polarity: 4	Tweet ID: 124	Username: imusicmas		Text: RT @jessverr I love the nerdy Stanford human biology videos - makes me miss school. http://bit.ly/13t7NR
Index: 97 Polarity: 4	Tweet ID: 2172	Username: souleaterj		Text: @jktweet Hi! Just saw your Stanford talk and really liked your advice. Just saying Hi from Singapore (yes the videos do get around)
Index: 98 Polarity: 4	Tweet ID: 125	Username: drewloew		Text: @spinuzzi: Has been a bit crazy; with steep learning curve; but LyX is really good for long docs. For anything shorter; it would be insane.
Index: 99 Polarity: 4	Tweet ID: 2173	Username: MbaAdmissio		Text: #MBA Admissions Tips Stanford GSB Deadlines and Essay Topics 2009-2010 http://tinyurl.com/pet4fd
Index: 100 Polarity: 4	Tweet ID: 2174	Username: narai		Text: Ethics and nonprofits - http://bit.ly/qsXRp  #stanford #socialentrepreneurship
Index: 101 Polarity: 4	Tweet ID: 2175	Username: JuanGi		Text: LAKERS tonight let's go!!!!
Index: 102 Polarity: 4	Tweet ID: 2176	Username: Alexi_		Text: Will the Lakers kick the Nuggets ass tonight?
Index: 103 Polarity: 0	Tweet ID: 2177	Username: one_eightee		Text: Oooooooh... North Korea is in troubleeeee! http://bit.ly/19epAH
Index: 104 Polarity: 0	Tweet ID: 2178	Username: FOLKTALE0		Text: Wat the heck is North Korea doing!!??!! They just conducted powerful nuclear tests! Follow the link: http://www.msnbc.msn.com/id/30921379
Index: 105 Polarity: 4	Tweet ID: 131	Username: VickyTigge		Text: I'm listening to ""P.Y.T"" by Danny Gokey &lt;3 &lt;3 &lt;3 Aww; he's so amazing. I &lt;3 him so much :)
Index: 106 Polarity: 0	Tweet ID: 2179	Username: Mvsi		Text: Listening to Obama... Friggin North Korea...
Index: 107 Polarity: 4	Tweet ID: 132	Username: babblyabbi		Text: is going to sleep then on a bike ride:]
Index: 108 Polarity: 0	Tweet ID: 2180	Username: CFURNARO		Text: I just realized we three monkeys in the white Obama.Biden;Pelosi . Sarah Palin 2012
Index: 109 Polarity: 0	Tweet ID: 133	Username: kisjoaqui		Text: cant sleep... my tooth is aching.
Index: 110 Polarity: 2	Tweet ID: 2181	Username: Rachael9021		Text: @foxnews Pelosi should stay in China and never come back.
Index: 111 Polarity: 0	Tweet ID: 134	Username: Whacktackula		Text: Blah; blah; blah same old same old. No plans today; going back to sleep I guess.
Index: 112 Polarity: 0	Tweet ID: 2182	Username: TylerSchmid		Text: Nancy Pelosi gave the worst commencement speech I've ever heard. Yes I'm still bitter about this
Index: 113 Polarity: 0	Tweet ID: 135	Username: Adrigonz		Text: glad i didnt do Bay to Breakers today; it's 1000 freaking degrees in San Francisco wtf
Index: 114 Polarity: 0	Tweet ID: 2183	Username: KayJay_		Text: ugh. the amount of times these stupid insects have bitten me. Grr..
Index: 115 Polarity: 0	Tweet ID: 136	Username: sulu3		Text: is in San Francisco at Bay to Breakers.
Index: 116 Polarity: 4	Tweet ID: 2184	Username: BecCre		Text: Prettiest insects EVER - Pink Katydids: http://bit.ly/2Upw2p
Index: 117 Polarity: 0	Tweet ID: 137	Username: schuyle		Text: just landed at San Francisco
Index: 118 Polarity: 0	Tweet ID: 2185	Username: euthanasia8		Text: Just got barraged by a horde of insects hungry for my kitchen light. So scary.
Index: 119 Polarity: 0	Tweet ID: 138	Username: MattBragon		Text: San Francisco today.  Any suggestions?
Index: 120 Polarity: 0	Tweet ID: 139	Username: KennyTRolan		Text: ?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg
Index: 121 Polarity: 4	Tweet ID: 2187	Username: connlock		Text: Just had McDonalds for dinner. :D It was goooood. Big Mac Meal. ;)
Index: 122 Polarity: 0	Tweet ID: 140	Username: aMil		Text: started to think that Citi is in really deep s&amp;^t. Are they gonna survive the turmoil or are they gonna be the next AIG?
Index: 123 Polarity: 4	Tweet ID: 2188	Username: MamiYess		Text: AHH YES LOL IMA TELL MY HUBBY TO GO GET ME SUM MCDONALDS =]
Index: 124 Polarity: 0	Tweet ID: 141	Username: Trazor		Text: ShaunWoo hate'n on AiG
Index: 125 Polarity: 4	Tweet ID: 142	Username: mimknit		Text: @YarnThing you will not regret going to see Star Trek. It was AWESOME!
Index: 126 Polarity: 4	Tweet ID: 2190	Username: Yuleineee		Text: Stopped to have lunch at McDonalds. Chicken Nuggetssss! :) yummmmmy.
Index: 127 Polarity: 4	Tweet ID: 143	Username: GeeRe		Text: On my way to see Star Trek @ The Esquire.
Index: 128 Polarity: 4	Tweet ID: 2191	Username: Xrachul		Text: Could go for a lot of McDonalds. i mean A LOT.
Index: 129 Polarity: 4	Tweet ID: 144	Username: checkyesjes		Text: Going to see star trek soon with my dad.
Index: 130 Polarity: 0	Tweet ID: 145	Username: renan		Text: annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that.
Index: 131 Polarity: 4	Tweet ID: 2193	Username: xKimmeli		Text: my exam went good. @HelloLeonie: your prayers worked (:
Index: 132 Polarity: 4	Tweet ID: 146	Username: kottkedotor		Text: Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50
Index: 133 Polarity: 4	Tweet ID: 2194	Username: laulaulaure		Text: Only one exam left; and i am so happy for it :D
Index: 134 Polarity: 4	Tweet ID: 147	Username: davidm8		Text: Highly recommend: http://tinyurl.com/HowDavidBeatsGoliath by Malcolm Gladwell
Index: 135 Polarity: 0	Tweet ID: 2195	Username: ellllle		Text: Math review. Im going to fail the exam.
Index: 136 Polarity: 4	Tweet ID: 148	Username: livrea		Text: Blink by malcolm gladwell amazing book and The tipping point!
Index: 137 Polarity: 0	Tweet ID: 2196	Username: LPSsports4		Text: Colin Powell rocked yesterday on CBS. Cheney needs to shut the hell up and go home.Powell is a man of Honor and served our country proudly
Index: 138 Polarity: 4	Tweet ID: 149	Username: mikeaross		Text: Malcolm Gladwell might be my new man crush
Index: 139 Polarity: 0	Tweet ID: 2197	Username: joah		Text: obviously not siding with Cheney here: http://bit.ly/19j2d
Index: 140 Polarity: 0	Tweet ID: 150	Username: wendy9363		Text: omg. The commercials alone on ESPN are going to drive me nuts.
Index: 141 Polarity: 4	Tweet ID: 151	Username: ClayFrankli		Text: @robmalon Playing with Twitter API sounds fun.  May need to take a class or find a new friend who like to generate results with API code.
Index: 142 Polarity: 4	Tweet ID: 152	Username: cURLTestin		Text: playing with cURL and the Twitter API
Index: 143 Polarity: 4	Tweet ID: 153	Username: ringerdro		Text: Hello Twitter API ;)
Index: 144 Polarity: 4	Tweet ID: 154	Username: danserfat		Text: playing with Java and the Twitter API
Index: 145 Polarity: 4	Tweet ID: 2202	Username: paulobs		Text: Absolutely hilarious!!! from @mashable:  http://bit.ly/bccWt
Index: 146 Polarity: 0	Tweet ID: 155	Username: raykolb		Text: @morind45 Because the twitter api is slow and most client's aren't good.
Index: 147 Polarity: 4	Tweet ID: 2203	Username: christineros		Text: @mashable I never did thank you for including me in your Top 100 Twitter Authors! You Rock! (&amp; I New Wave :-D) http://bit.ly/EOrFV
Index: 148 Polarity: 0	Tweet ID: 156	Username: CarolineVila		Text: yahoo answers can be a butt sometimes
Index: 149 Polarity: 4	Tweet ID: 2204	Username: cfblogger		Text: Learning jQuery 1.3 Book Review - http://cfbloggers.org/?c=30629
Index: 150 Polarity: 4	Tweet ID: 157	Username: rachelbegin		Text: is scrapbooking with Nic =D
Index: 151 Polarity: 4	Tweet ID: 2205	Username: pdelsignor		Text: RT @shrop: Awesome JQuery reference book for Coda! http://www.macpeeps.com/coda/ #webdesign
Index: 152 Polarity: 4	Tweet ID: 2206	Username: bskat		Text: I've been sending e-mails like crazy today to my contacts...does anyone have a contact at Goodby SIlverstein...I'd love to speak to them
Index: 153 Polarity: 4	Tweet ID: 2207	Username: sc0ttma		Text: Adobe CS4 commercial by Goodby Silverstein: http://bit.ly/1aikhF
Index: 154 Polarity: 4	Tweet ID: 2208	Username: designpla		Text: Goodby; Silverstein's new site... http://www.goodbysilverstein.com/ I enjoy it.
Index: 155 Polarity: 4	Tweet ID: 172	Username: leedscentli		Text: RT @mashable: Five Things Wolfram Alpha Does Better (And Vastly Different) Than Google - http://bit.ly/6nSnR
Index: 156 Polarity: 4	Tweet ID: 2220	Username: Drisgil		Text: Wow everyone at the Google I/O conference got free G2's with a month of unlimited service
Index: 157 Polarity: 4	Tweet ID: 173	Username: sportsgirl50		Text: just changed my default pic to a Nike basketball cause bball is awesome!!!!!
Index: 158 Polarity: 4	Tweet ID: 2221	Username: DearJellyHiJel		Text: @vkerkez dood I got a free google android phone at the I/O conference. The G2!
Index: 159 Polarity: 4	Tweet ID: 174	Username: MatrixSystem		Text: Nike owns NBA Playoffs ads w/ LeBron; Kobe; Carmelo? http://ow.ly/7Uiy  #Adidas #Billups #Howard  #Marketing #Branding
Index: 160 Polarity: 4	Tweet ID: 2222	Username: itamar		Text: @Orli the G2 is amazing btw; a HUGE improvement over the G1
Index: 161 Polarity: 4	Tweet ID: 175	Username: cadburysgir		Text: 'Next time; I'll call myself Nike'
Index: 162 Polarity: 4	Tweet ID: 2223	Username: dayna		Text: HTML 5 Demos! Lots of great stuff to come! Yes; I'm excited. :) http://htmlfive.appspot.com #io2009 #googleio
Index: 163 Polarity: 4	Tweet ID: 176	Username: AddictedToFres		Text: New blog post: Nike SB Dunk Low Premium 'White Gum' http://tr.im/lOtT
Index: 164 Polarity: 4	Tweet ID: 2224	Username: jackdaniels0		Text: @googleio http://twitpic.com/62shi - Yay! Happy place! Place place!  I love Google!
Index: 165 Polarity: 0	Tweet ID: 177	Username: coreysmbpr		Text: RT @SmartChickPDX: Was just told that Nike layoffs started today :-(
Index: 166 Polarity: 4	Tweet ID: 2225	Username: alpheus		Text: #GoogleIO | O3D - Bringing 3d graphics to the browser. Very nice tbh. Funfun.
Index: 167 Polarity: 4	Tweet ID: 178	Username: PRolivi		Text: Back when I worked for Nike we had one fav word : JUST DO IT! :)
Index: 168 Polarity: 4	Tweet ID: 179	Username: ErrantDream		Text: By the way; I'm totally inspired by this freaky Nike commercial: http://snurl.com/icgj9
Index: 169 Polarity: 4	Tweet ID: 192	Username: niket		Text: giving weka an app engine interface; using the bird strike data for the tests; the logo is a given.
Index: 170 Polarity: 4	Tweet ID: 194	Username: bigdigi		Text: Brand New Canon EOS 50D 15MP DSLR Camera Canon 17-85mm IS Lens ...: Web Technology Thread; Brand New Canon EOS 5.. http://u.mavrev.com/5a3t
Index: 171 Polarity: 4	Tweet ID: 195	Username: justinbettma		Text: Class... The 50d is supposed to come today :)
Index: 172 Polarity: 0	Tweet ID: 196	Username: read		Text: needs someone to explain lambda calculus to him! :(
Index: 173 Polarity: 0	Tweet ID: 197	Username: BAK3		Text: Took the Graduate Field Exam for Computer Science today.  Nothing makes you feel like more of an idiot than lambda calculus.
Index: 174 Polarity: 4	Tweet ID: 198	Username: SLICKSPI		Text: SHOUT OUTS TO ALL EAST PALO ALTO FOR BEING IN THE BUILDIN KARIZMAKAZE 50CAL GTA! ALSO THANKS TO PROFITS OF DOOM UNIVERSAL HEMPZ CRACKA......
Index: 175 Polarity: 0	Tweet ID: 199	Username: ckwrigh		Text: @legalgeekery Yeahhhhhhhhh; I wouldn't really have lived in East Palo Alto if I could have avoided it.  I guess it's only for the summer.
Index: 176 Polarity: 4	Tweet ID: 204	Username: souleaterj		Text: @accannis @edog1203 Great Stanford course. Thanks for making it available to the public! Really helpful and informative for starting off!
Index: 177 Polarity: 2	Tweet ID: 205	Username: susanga		Text: NVIDIA Names Stanford's Bill Dally Chief Scientist; VP Of Research http://bit.ly/Fvvg9
Index: 178 Polarity: 4	Tweet ID: 206	Username: jimmy_chan200		Text: New blog post: Harvard Versus Stanford - Who Wins? http://bit.ly/MCoCo
Index: 179 Polarity: 4	Tweet ID: 207	Username: a_fi		Text: @ work til 6pm... lets go lakers!!!
Index: 180 Polarity: 0	Tweet ID: 208	Username: luvslikep		Text: Damn you North Korea. http://bit.ly/KtMeQ
Index: 181 Polarity: 0	Tweet ID: 209	Username: utsagrad12		Text: Can we just go ahead and blow North Korea off the map already?
Index: 182 Polarity: 0	Tweet ID: 210	Username: stabotag		Text: North Korea; please cease this douchebaggery. China doesn't even like you anymore. http://bit.ly/NeHSl
Index: 183 Polarity: 0	Tweet ID: 211	Username: zed0		Text: Why the hell is Pelosi in freakin China? and on whose dime?
Index: 184 Polarity: 0	Tweet ID: 212	Username: funky_old_ma		Text: Are YOU burning more cash $$$ than Chrysler and GM? Stop the financial tsunami. Where ""bailout"" means taking a handout!
Index: 185 Polarity: 0	Tweet ID: 213	Username: malcoze		Text: insects have infected my spinach plant :(
Index: 186 Polarity: 0	Tweet ID: 214	Username: AntoineTheRea		Text: wish i could catch every mosquito in the world n burn em slowly.they been bitin the shit outta me 2day.mosquitos are the assholes of insects
Index: 187 Polarity: 4	Tweet ID: 215	Username: jonwolper		Text: just got back from church; and I totally hate insects.
Index: 188 Polarity: 0	Tweet ID: 216	Username: jachshor		Text: Just got mcdonalds goddam those eggs make me sick. O yeah Laker up date go lakers. Not much of an update? Well it's true so suck it
Index: 189 Polarity: 4	Tweet ID: 217	Username: MamiYess		Text: omgg i ohhdee want mcdonalds damn i wonder if its open lol =]
Index: 190 Polarity: 0	Tweet ID: 218	Username: jvici0u		Text: History exam studying ugh
Index: 191 Polarity: 2	Tweet ID: 219	Username: enriqueniet		Text: I hate revision; it's so boring! I am totally unprepared for my exam tomorrow :( Things are not looking good...
Index: 192 Polarity: 0	Tweet ID: 220	Username: Drummermatt_18		Text: Higher physics exam tommorow; not lookin forward to it much :(
Index: 193 Polarity: 0	Tweet ID: 222	Username: filmcriticbet		Text: It's a bank holiday; yet I'm only out of work now. Exam season sucks:(
Index: 194 Polarity: 0	Tweet ID: 223	Username: lvloca		Text: Cheney and Bush are the real culprits - http://fwix.com/article/939496
Index: 195 Polarity: 0	Tweet ID: 224	Username: QCWofN		Text: Life?s a bitch? and so is Dick Cheney. #p2 #bipart #tlot #tcot #hhrs #GOP #DNC http://is.gd/DjyQ
Index: 196 Polarity: 0	Tweet ID: 225	Username: jepac		Text: Dick Cheney's dishonest speech about torture; terror; and Obama. -Fred Kaplan Slate. http://is.gd/DiHg
Index: 197 Polarity: 0	Tweet ID: 226	Username: ImportantQuote		Text: ""The Republican party is a bunch of anti-abortion zealots who couldn't draw flies to a dump."" -- Neal Boortz (just now; on the radio)
Index: 198 Polarity: 0	Tweet ID: 227	Username: fwham		Text: is Twitter's connections API broken? Some tweets didn't make it to Twitter...
Index: 199 Polarity: 0	Tweet ID: 228	Username: jos89		Text: i srsly hate the stupid twitter API timeout thing; soooo annoying!!!!! :(
